指示番号,顧客コード,OMS注文番号,出荷期限,優先度,配送先郵便番号,配送先住所,配送先名称,備考,SKUコード,受注数
OO-20260601-001,CUST-0001,OMS-2026-0601,2026-06-03 17:00,1,100-0001,東京都千代田区丸の内1-1-1,サンプル商事 御中,当日出荷希望,SKU-000002,10
OO-20260601-001,CUST-0001,OMS-2026-0601,2026-06-03 17:00,1,100-0001,東京都千代田区丸の内1-1-1,サンプル商事 御中,当日出荷希望,SKU-000003,5
OO-20260601-001,CUST-0001,OMS-2026-0601,2026-06-03 17:00,1,100-0001,東京都千代田区丸の内1-1-1,サンプル商事 御中,当日出荷希望,SKU-000004,2
OO-20260601-002,CUST-0001,OMS-2026-0602,2026-06-04 12:00,0,100-0001,東京都千代田区丸の内1-1-1,サンプル商事 御中,,SKU-000002,20
OO-20260601-002,CUST-0001,OMS-2026-0602,2026-06-04 12:00,0,100-0001,東京都千代田区丸の内1-1-1,サンプル商事 御中,,SKU-000003,8
OO-20260601-002,CUST-0001,OMS-2026-0602,2026-06-04 12:00,0,100-0001,東京都千代田区丸の内1-1-1,サンプル商事 御中,,SKU-000004,4
OO-20260601-003,CUST-0001,OMS-2026-0603,,2,,,,在庫確保でき次第,SKU-000002,6
OO-20260601-003,CUST-0001,OMS-2026-0603,,2,,,,在庫確保でき次第,SKU-000004,3
OO-20260601-004,CUST-0001,OMS-2026-0604,2026-06-06 10:00,0,100-0001,東京都千代田区丸の内1-1-1,サンプル商事 御中,,SKU-000003,12
OO-20260601-004,CUST-0001,OMS-2026-0604,2026-06-06 10:00,0,100-0001,東京都千代田区丸の内1-1-1,サンプル商事 御中,,SKU-000002,1
