指示番号,仕入先コード,入荷予定日,発注番号,納品書番号,備考,SKUコード,予定数,クロスドック
IO-20260601-001,ASKUL,2026-06-02,PO-202606-0001,DN-2026-0601,6月度 定期入荷,SKU-000002,100,いいえ
IO-20260601-001,ASKUL,2026-06-02,PO-202606-0001,DN-2026-0601,6月度 定期入荷,SKU-000003,50,いいえ
IO-20260601-001,ASKUL,2026-06-02,PO-202606-0001,DN-2026-0601,6月度 定期入荷,SKU-000004,30,はい
IO-20260601-002,ASKUL,2026-06-03,PO-202606-0002,,,SKU-000002,200,いいえ
IO-20260601-002,ASKUL,2026-06-03,PO-202606-0002,,,SKU-000003,80,いいえ
IO-20260601-002,ASKUL,2026-06-03,PO-202606-0002,,,SKU-000004,60,いいえ
IO-20260601-003,ASKUL,2026-06-05,,,追加発注分,SKU-000002,40,いいえ
IO-20260601-003,ASKUL,2026-06-05,,,追加発注分,SKU-000003,25,いいえ
RT-20260601-001,,,,,顧客都合による返品の戻し入庫,SKU-000004,5,いいえ
RT-20260601-001,,,,,顧客都合による返品の戻し入庫,SKU-000002,3,いいえ
